session,House,Ministry,theme,question_text,mp_names,date,question_link,Link.1,Unnamed: 9,mp_name_raw,mp_name_clean,mp_name,state,constituency,party,region
Budget Session,Lok Sabha,MoSJE,"Edu, Emp, Infra & Digi Accessibility",Initiatives for the Empowerment of Divyangjans," Nishikant Dubey,  Kriti Devi Debbarman,  Vijay Baghel,  Praveen Patel,  Kali Charan Singh,  Kangna Ranaut,  Damodar Agrawal,  P P Chaudhary,  Suresh Kumar Kashyap,  Anurag Singh Thakur,  Anup Sanjay Dhotre,  Smita Uday Wagh,  Aparajita Sarangi,  Manoj Tiwari,  Chandra Prakash Joshi",2025-04-02,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU426_qnbDda.pdf?source=pqals,,Kangna Ranaut,Kangna Ranaut,Kangna Ranaut,Himachal Pradesh,Mandi,Bharatiya Janata Party,North
Budget Session,Lok Sabha,MoSJE,"Edu, Emp, Infra & Digi Accessibility",Initiatives for the Empowerment of Divyangjans," Nishikant Dubey,  Kriti Devi Debbarman,  Vijay Baghel,  Praveen Patel,  Kali Charan Singh,  Kangna Ranaut,  Damodar Agrawal,  P P Chaudhary,  Suresh Kumar Kashyap,  Anurag Singh Thakur,  Anup Sanjay Dhotre,  Smita Uday Wagh,  Aparajita Sarangi,  Manoj Tiwari,  Chandra Prakash Joshi",2025-04-02,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU426_qnbDda.pdf?source=pqals,,Damodar Agrawal,Damodar Agrawal,Damodar Agrawal,Rajasthan,Bhilwara,Bharatiya Janata Party,North
Budget Session,Lok Sabha,MoSJE,"Edu, Emp, Infra & Digi Accessibility",Initiatives for the Empowerment of Divyangjans," Nishikant Dubey,  Kriti Devi Debbarman,  Vijay Baghel,  Praveen Patel,  Kali Charan Singh,  Kangna Ranaut,  Damodar Agrawal,  P P Chaudhary,  Suresh Kumar Kashyap,  Anurag Singh Thakur,  Anup Sanjay Dhotre,  Smita Uday Wagh,  Aparajita Sarangi,  Manoj Tiwari,  Chandra Prakash Joshi",2025-04-02,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU426_qnbDda.pdf?source=pqals,,P P Chaudhary,P P Chaudhary,P P Chaudhary,Rajasthan,Pali,Bharatiya Janata Party,North
Budget Session,Lok Sabha,MoSJE,"Edu, Emp, Infra & Digi Accessibility",Initiatives for the Empowerment of Divyangjans," Nishikant Dubey,  Kriti Devi Debbarman,  Vijay Baghel,  Praveen Patel,  Kali Charan Singh,  Kangna Ranaut,  Damodar Agrawal,  P P Chaudhary,  Suresh Kumar Kashyap,  Anurag Singh Thakur,  Anup Sanjay Dhotre,  Smita Uday Wagh,  Aparajita Sarangi,  Manoj Tiwari,  Chandra Prakash Joshi",2025-04-02,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU426_qnbDda.pdf?source=pqals,,Suresh Kumar Kashyap,Suresh Kumar Kashyap,Suresh Kumar Kashyap,Himachal Pradesh,Shimla,Bharatiya Janata Party,North
Budget Session,Lok Sabha,MoSJE,"Edu, Emp, Infra & Digi Accessibility",Initiatives for the Empowerment of Divyangjans," Nishikant Dubey,  Kriti Devi Debbarman,  Vijay Baghel,  Praveen Patel,  Kali Charan Singh,  Kangna Ranaut,  Damodar Agrawal,  P P Chaudhary,  Suresh Kumar Kashyap,  Anurag Singh Thakur,  Anup Sanjay Dhotre,  Smita Uday Wagh,  Aparajita Sarangi,  Manoj Tiwari,  Chandra Prakash Joshi",2025-04-02,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU426_qnbDda.pdf?source=pqals,,Anurag Singh Thakur,Anurag Singh Thakur,Anurag Singh Thakur,Himachal Pradesh,Hamirpur,Bharatiya Janata Party,North
Budget Session,Lok Sabha,MoSJE,"Edu, Emp, Infra & Digi Accessibility",Initiatives for the Empowerment of Divyangjans," Nishikant Dubey,  Kriti Devi Debbarman,  Vijay Baghel,  Praveen Patel,  Kali Charan Singh,  Kangna Ranaut,  Damodar Agrawal,  P P Chaudhary,  Suresh Kumar Kashyap,  Anurag Singh Thakur,  Anup Sanjay Dhotre,  Smita Uday Wagh,  Aparajita Sarangi,  Manoj Tiwari,  Chandra Prakash Joshi",2025-04-02,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU426_qnbDda.pdf?source=pqals,,Anup Sanjay Dhotre,Anup Sanjay Dhotre,Anup Sanjay Dhotre,Maharashtra,Akola,Bharatiya Janata Party,West
Budget Session,Lok Sabha,MoSJE,"Edu, Emp, Infra & Digi Accessibility",Initiatives for the Empowerment of Divyangjans," Nishikant Dubey,  Kriti Devi Debbarman,  Vijay Baghel,  Praveen Patel,  Kali Charan Singh,  Kangna Ranaut,  Damodar Agrawal,  P P Chaudhary,  Suresh Kumar Kashyap,  Anurag Singh Thakur,  Anup Sanjay Dhotre,  Smita Uday Wagh,  Aparajita Sarangi,  Manoj Tiwari,  Chandra Prakash Joshi",2025-04-02,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU426_qnbDda.pdf?source=pqals,,Smita Uday Wagh,Smita Uday Wagh,Smita Uday Wagh,Maharashtra,Jalgaon,Bharatiya Janata Party,West
Budget Session,Lok Sabha,MoSJE,"Edu, Emp, Infra & Digi Accessibility",Initiatives for the Empowerment of Divyangjans," Nishikant Dubey,  Kriti Devi Debbarman,  Vijay Baghel,  Praveen Patel,  Kali Charan Singh,  Kangna Ranaut,  Damodar Agrawal,  P P Chaudhary,  Suresh Kumar Kashyap,  Anurag Singh Thakur,  Anup Sanjay Dhotre,  Smita Uday Wagh,  Aparajita Sarangi,  Manoj Tiwari,  Chandra Prakash Joshi",2025-04-02,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU426_qnbDda.pdf?source=pqals,,Aparajita Sarangi,Aparajita Sarangi,Aparajita Sarangi,Odisha,Bhubaneswar,Bharatiya Janata Party,East
Budget Session,Lok Sabha,MoSJE,"Edu, Emp, Infra & Digi Accessibility",Initiatives for the Empowerment of Divyangjans," Nishikant Dubey,  Kriti Devi Debbarman,  Vijay Baghel,  Praveen Patel,  Kali Charan Singh,  Kangna Ranaut,  Damodar Agrawal,  P P Chaudhary,  Suresh Kumar Kashyap,  Anurag Singh Thakur,  Anup Sanjay Dhotre,  Smita Uday Wagh,  Aparajita Sarangi,  Manoj Tiwari,  Chandra Prakash Joshi",2025-04-02,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU426_qnbDda.pdf?source=pqals,,Manoj Tiwari,Manoj Tiwari,Manoj Tiwari,Delhi,North East Delhi,Bharatiya Janata Party,North
Budget Session,Lok Sabha,MoSJE,"Edu, Emp, Infra & Digi Accessibility",Initiatives for the Empowerment of Divyangjans," Nishikant Dubey,  Kriti Devi Debbarman,  Vijay Baghel,  Praveen Patel,  Kali Charan Singh,  Kangna Ranaut,  Damodar Agrawal,  P P Chaudhary,  Suresh Kumar Kashyap,  Anurag Singh Thakur,  Anup Sanjay Dhotre,  Smita Uday Wagh,  Aparajita Sarangi,  Manoj Tiwari,  Chandra Prakash Joshi",2025-04-02,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU426_qnbDda.pdf?source=pqals,,Chandra Prakash Joshi,Chandra Prakash Joshi,Chandra Prakash Joshi,Rajasthan,Chittorgarh,Bharatiya Janata Party,North
Budget Session,Lok Sabha,MoSJE,Health,National Institute of Locomotor Disabilities, Jagannath Sarkar,2025-04-02,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU378_J5oD9G.pdf?source=pqals,,Jagannath Sarkar,Jagannath Sarkar,Jagannath Sarkar,West Bengal,Ranaghat,Bharatiya Janata Party,East
Budget Session,Lok Sabha,MoSJE,Miscellaneous,Senior Citizens and Divyangjans,Namdeo Kirsan,2025-04-02,<>,https://sansad.in/getFile/loksabhaquestions/annex/184/AU300_tvoOPz.pdf?source=pqals,,Namdeo Kirsan,Namdeo Kirsan,Namdeo Kirsan,Maharashtra,Gadchiroli-Chimur,Indian National Congress,West
